province,year_from,year_to,D_tt,D_t1t1,D_t_t1,D_t1_t,EFFCH,TECH,Malmquist
宁夏,2016,2017,0.8425589935191412,0.7994923256081609,0.8995272082175315,0.7488594486491498,0.9488858723932166,1.1251230054438304,1.0676133245702468
宁夏,2017,2018,0.7994923256081609,0.7808112549131063,0.997317286033292,0.6259318020390426,0.9766338336258023,1.2772834404702322,1.247438223093197
宁夏,2018,2019,0.7808112549131063,0.616897067338006,0.8004336323508736,0.6017740307659347,0.7900719456287272,1.297515703559514,1.025130756395092
宁夏,2019,2020,0.616897067338006,0.6436793799160486,0.7659126548283401,0.5414665554890229,1.0434145564893216,1.1643280454936444,1.2148768311968297
安徽,2016,2017,0.5512812313721647,0.5299682469971346,0.5531581904637441,0.529658686146159,0.961339180145892,1.0422893562858797,1.0019935952466572
安徽,2017,2018,0.5299682469971346,0.5309938154023285,0.5455307067141849,0.5232660358086652,1.0019351506642236,1.020066583676221,1.0220405662031744
安徽,2018,2019,0.5309938154023285,0.4572419998345655,0.5670173154597631,0.42978813162444035,0.86110607425459,1.2377776173593142,1.065857824884479
安徽,2019,2020,0.4572419998345655,0.45561629910867635,0.5036934710665455,0.41362967623818114,0.9964445507488872,1.1054796375913067,1.1015491608417123
山东,2016,2017,0.621470221984382,0.5747845167671879,0.6305227346205847,0.5691030301634022,0.9248786127384759,1.0944919151498957,1.0122721641373134
山东,2017,2018,0.5747845167671879,0.5497778518175902,0.6138226941186719,0.515364532011858,0.9564938438316938,1.1158944501268253,1.0673461719122614
山东,2018,2019,0.5497778518175902,0.517131633166011,0.5941523931529294,0.48174390142624557,0.94061925458865,1.145074861237096,1.077079462425039
山东,2019,2020,0.517131633166011,0.491446946188893,0.5578936297591702,0.4564679732773158,0.950332400244267,1.134051499545198,1.0777258835633983
山西,2016,2017,0.4653952867155017,0.4896361348795978,0.4947130429282059,0.45615621959678637,1.0520865785624396,1.0152994237880117,1.0681828969895457
山西,2017,2018,0.4896361348795978,0.48118671717606215,0.49979753791510323,0.46923630574071995,0.9827434760189556,1.0410729633478237,1.023107662789795
山西,2018,2019,0.48118671717606215,0.4897434219219641,0.528571576597915,0.44586129638159905,1.0177825040477397,1.0792561326801726,1.0984480092281057
山西,2019,2020,0.4897434219219641,0.5250216832690727,0.5685999955772405,0.45276439783458705,1.0720341708902623,1.0823381754085515,1.1603035084969857
广东,2016,2017,1.0,1.0,0.9962791400257018,1.026724266619365,1.0,0.9850620891826061,0.9850620891826061
广东,2017,2018,1.0,0.9999999999999998,1.1770691423009856,1.0083897297482192,0.9999999999999998,1.080405485000225,1.0804054850002247
广东,2018,2019,0.9999999999999998,1.0,1.1897177008863045,0.8848381216593649,1.0000000000000002,1.1595515185945715,1.1595515185945717
广东,2019,2020,1.0,1.0,1.1439355006786294,0.919354591037272,1.0,1.1154734668486292,1.1154734668486292
广西,2016,2017,0.8597229191268971,0.94760440817264,0.9610374612000335,0.8553930758037049,1.1022207121510639,1.0096085256392153,1.1128114281238415
广西,2017,2018,0.94760440817264,0.9946196138944581,1.0159723585550533,0.9144704555901316,1.0496148026711718,1.0288241100426765,1.0798690152457877
广西,2018,2019,0.9946196138944581,0.9117187903952139,1.1025592615043662,0.8222115210443314,0.9166507252208269,1.2095038320986058,1.1086925648505563
广西,2019,2020,0.9117187903952139,0.8754911872270887,0.9707339314813762,0.8220408305088898,0.9602644987141034,1.10893980847052,1.0648755292850576
新疆,2016,2017,0.663276339296221,0.7037004857219289,0.7264015692612975,0.6433992736180546,1.060946160794158,1.0315764783536716,1.0944471042748856
新疆,2017,2018,0.7037004857219289,0.7649794060152826,0.7843899845089968,0.6856828253061682,1.0870809691576202,1.0258253749700907,1.1151552428089655
新疆,2018,2019,0.7649794060152826,0.7408008948785421,0.804661758276905,0.7030775376927405,0.9683932522279463,1.0871242715974214,1.0527638089481641
新疆,2019,2020,0.7408008948785421,0.7420542592334172,0.8128801405709202,0.6765855863275915,1.0016919044827566,1.0951782343599,1.0970311713240308
江苏,2016,2017,0.8590825260714838,0.8105986849280108,0.8554065189581567,0.8209027759942621,0.9435632320852971,1.0508843173876523,0.9915758030620444
江苏,2017,2018,0.8105986849280108,0.7757170846248831,0.8181626817923399,0.765650896486241,0.9569681015381545,1.056709725945348,1.011237500314823
江苏,2018,2019,0.7757170846248831,0.7029274754353885,0.8142052605223439,0.6703403148937853,0.9061647466167465,1.1577524301720272,1.0491144375317576
江苏,2019,2020,0.7029274754353885,0.6749019949181276,0.7477600654167025,0.6342842055541458,0.9601303384820716,1.1080875844651739,1.0639085075403285
江西,2016,2017,0.8033500816538257,0.7394406662088374,0.8067205212061496,0.7766760831110071,0.9204463696407169,1.062288162160057,0.9777792823725338
江西,2017,2018,0.7394406662088374,0.7406923808128806,0.8033143923573879,0.7330391343776531,1.00169278572473,1.0459523996665587,1.0477229729574613
江西,2018,2019,0.7406923808128806,0.7346676894332177,0.8503222733715143,0.6666771577480863,0.9918661356107767,1.1339853882378328,1.1247617048705456
江西,2019,2020,0.7346676894332177,0.7239317630900671,0.8020722946991791,0.6674936502916339,0.9853866904757536,1.1042816162121247,1.0881444071524817
河北,2016,2017,0.6301239334069645,0.5383689435591464,0.585345476235549,0.5779604285092562,0.8543858041517076,1.0887547657865682,0.9302166160905612
河北,2017,2018,0.5383689435591464,0.6233256405580624,0.669044949159722,0.5021925736037199,1.1578038592591706,1.0726919185200532,1.2419668430586415
河北,2018,2019,0.6233256405580624,0.5576975226026977,0.7000194510487996,0.4960763014284587,0.8947129498850586,1.2558534182164205,1.1236283164356478
河北,2019,2020,0.5576975226026977,0.5671809455229373,0.6245889021856657,0.5056147611377865,1.0170045993318777,1.1021121772720062,1.1208531532653
河南,2016,2017,0.6101271266983216,0.5840689183174895,0.6158725612179126,0.5789849018509257,0.957290526448406,1.0541196953283374,1.0090987980804973
河南,2017,2018,0.5840689183174895,0.5898624513687251,0.6216486957836082,0.5554501773044745,1.0099192627266056,1.0527048665670817,1.0631469227121368
河南,2018,2019,0.5898624513687251,0.5328542431540545,0.6635913202555725,0.4742287277296346,0.9033533867389119,1.2445936485504645,1.124307887531801
河南,2019,2020,0.5328542431540545,0.5639444772696148,0.6229242234231386,0.48229517125044147,1.0583466013736365,1.1047072216796734,1.1691631335775947
浙江,2016,2017,1.0,1.0,1.0095370637019618,0.9969694399532095,1.0,1.0062831740930518,1.0062831740930518
浙江,2017,2018,1.0,0.9646094956289993,1.0785796755964216,0.8960840669486486,0.9646094956289993,1.1170586402552458,1.0775253715646285
浙江,2018,2019,0.9646094956289993,0.9224344069824136,1.0953864959722583,0.8124420604772092,0.9562775518614564,1.187395807889151,1.1354799562587934
浙江,2019,2020,0.9224344069824136,0.8923158552047756,1.0038216448539667,0.8197193618125301,0.9673488417716706,1.1251336752557668,1.0883967575969689
海南,2016,2017,1.0,1.0,1.0245118056539697,1.029754730015341,1.0,0.9974510362772198,0.9974510362772198
