province,province_id,year,y_clean,ln_y_clean,cum_tfp,ln_cum_tfp,urban_rate,pop_density,ln_pop_density,primary_share,machinery,fertilizer,plastic_film,diesel,pesticide,output_nominal
内蒙古,3,2019,0.3787594269525154,-0.9708540328246952,1.0732218425445545,0.07066519208729691,0.664691511387164,20.414201183432,3.0162307951023344,10.8,3866.4,218.4,9.4194,77.4,2.7278,3176.3
内蒙古,3,2020,0.3930016073767697,-0.9339415771040143,1.1732772567522887,0.1598009072591331,0.674854336607291,20.3110735418428,3.0111662319916666,11.7,4056.6,207.7,9.5297,78.1,2.3426,3472.4
北京,4,2016,0.8144788179657773,-0.20520685745895612,1.0,0.0,0.867632322128086,1338.65853658537,7.199423299417112,0.51,144.5,9.7,0.9867,2.5,0.3031,338.1
北京,4,2017,0.8274168442020782,-0.1894466671706545,1.0165783384514115,0.01644241796518001,0.869349252643091,1338.04878048781,7.198967697787291,0.43,133.5,8.5,0.8973,2.2,0.2726,308.3
北京,4,2018,0.8364637106512777,-0.17857214186177842,1.0865234333332976,0.08298308820684556,0.870922115253,1336.40243902439,7.197736535551567,0.39,125.7,7.3,0.8243,1.9,0.2574,296.8
北京,4,2019,0.8898543411100233,-0.1166974913241159,1.1306386059651088,0.12278261111611657,0.873521756997397,1335.42682926829,7.197006242032412,0.3,122.8,6.2,0.7699,1.8,0.2257,281.7
北京,4,2020,0.8471632388754244,-0.16586187695433063,1.0957908834288015,0.09147637052998844,0.875344286556038,1334.94512195122,7.196645462836783,0.3,120.2,6.1,0.7562,1.7,0.2149,263.4
吉林,5,2016,0.29393149173936833,-1.224408560091801,1.0,0.0,0.587491234904558,136.979722518677,4.919832904060867,10.14,3105.3,233.6,5.9565,67.0,5.8523,2724.9
吉林,5,2017,0.3149018360492822,-1.1554943203132986,0.7560771375214675,-0.27961187424913897,0.597121931908155,134.791889007471,4.903732026100163,7.33,3284.7,231.0,6.0752,67.6,5.6294,2064.3
吉林,5,2018,0.336210496316181,-1.0900178380423198,0.8630920337419299,-0.1472339496196162,0.608586956521739,132.550693703308,4.88696516624309,10.3,3466.0,228.3,5.6216,67.3,5.0991,2184.3
吉林,5,2019,0.35268909390332004,-1.0421683639553312,1.009679891642986,0.009633341650058354,0.616180555555556,130.629669156884,4.872366366821943,11.0,3653.7,227.1,5.313,65.7,4.8658,2442.7
吉林,5,2020,0.3966555046387398,-0.924687121506799,1.2660700894347716,0.23591768509217872,0.626455154362024,128.027214514408,4.852242854714405,12.6,3896.9,225.3,5.1364,65.8,4.693,2976.0
四川,6,2016,0.30133161615127524,-1.199543905887332,1.0,0.0,0.500060598715307,169.738736885415,5.134260413046982,11.8,4267.3,249.0,13.2384,46.9,5.8038,6831.1
四川,6,2017,0.3406295895425988,-1.0769596397688719,1.0111230084290077,0.011061602695498829,0.517794667631801,170.520469039292,5.1388553425341605,11.2,4420.3,242.0,13.0993,46.7,5.5751,6955.5
四川,6,2018,0.38659979147185136,-0.9503652515979863,1.036243979555923,0.03560261761302182,0.535031847133758,171.178769800453,5.142708447843068,10.3,4603.9,235.2,12.0186,46.9,5.1276,7195.6
四川,6,2019,0.425663327421915,-0.8541065563894761,1.131483545548575,0.1235296438280279,0.553586396838702,171.79592676404,5.146307300095863,10.4,4682.3,222.8,12.3235,47.0,4.629,7889.3
四川,6,2020,0.4418763901019142,-0.8167250964196107,1.3232278151092847,0.28007406615861447,0.567336065084163,172.20119317013,5.148663520948313,11.5,4754.0,210.8,11.8818,47.1,4.213,9216.4
天津,7,2016,0.5964265202905191,-0.5167992297922681,1.0,0.0,0.832986832986833,1202.5,7.092158001979916,1.5,470.0,21.4,1.1644,14.9,0.3307,494.4
天津,7,2017,0.5790863312135708,-0.5463037085282333,0.9658948055803298,-0.03470034761409102,0.835460992907801,1175.0,7.069023426578259,1.3,464.7,18.0,1.0906,14.0,0.2353,382.1
天津,7,2018,0.5557624813114227,-0.5874142678899336,1.1705942012521022,0.15751148420826527,0.839479392624729,1152.5,7.049688774870804,1.3,348.0,16.9,0.907,2.2,0.219,390.5
天津,7,2019,0.4398228043479582,-0.8213833505732605,1.243289165588177,0.21776042070101279,0.843097472924188,1154.16666666667,7.051133861827487,1.3,359.8,16.2,0.8096,2.1,0.2171,414.4
天津,7,2020,0.5837012028296897,-0.5383660660760573,1.4296369683586914,0.35742054376117366,0.846846067318508,1155.7,7.052461499981396,1.5,365.1,15.3,0.7521,2.0,0.1997,476.4
宁夏,8,2016,0.26187836031737305,-1.3398751566272096,1.0,0.0,0.587408761751198,104.609939759036,4.6502385734931195,8.7,580.5,40.7,1.5137,22.5,0.2587,493.6
宁夏,8,2017,0.27286615300373906,-1.2987738860623,1.0676133245702468,0.06542561933419722,0.609505304362626,106.186746987952,4.665199308063412,7.8,605.4,40.8,1.5087,22.0,0.254,517.4
宁夏,8,2018,0.27224173423555503,-1.3010648785645702,1.3317816685525294,0.2865176461849747,0.621501254333794,106.85843373494,4.671504909253389,8.0,621.9,38.4,1.4975,21.7,0.2266,575.8
宁夏,8,2019,0.3519971354314403,-1.0441322413960163,1.3652503492363721,0.31133781785406484,0.636296430613868,107.971385542169,4.681866243335496,7.5,632.2,38.4,1.56,21.5,0.2245,584.8
宁夏,8,2020,0.3719632836862365,-0.9889601293483146,1.6586110180706488,0.5059805160073844,0.648981177090702,108.573795180723,4.687430081704682,8.62,644.1,38.1,1.6388,21.4,0.2174,703.1
